Name,Description,geometry
kml_201,LORNIE HIGHWAY,"LINESTRING Z (103.8207130696 1.33581061603438 0, 103.820409022612 1.3356730696444 0, 103.820123731228 1.33554026761453 0, 103.818683007772 1.33482600767671 0, 103.818387018442 1.33467884859423 0, 103.818144520157 1.33454963601863 0, 103.817926984784 1.33440965621261 0)"
kml_202,LORNIE HIGHWAY,"LINESTRING Z (103.830087570648 1.34068522642971 0, 103.82955934165 1.34064806713897 0, 103.829160129716 1.3405725430073 0, 103.828750021024 1.34047084828965 0, 103.828298307313 1.34034522483678 0, 103.827959521878 1.34023156629444 0, 103.827596962417 1.34010594290667 0, 103.827323556241 1.33998630296221 0, 103.827097699095 1.33989058988105 0, 103.826764857843 1.33974103876922 0, 103.826330974751 1.33951970429505 0, 103.82609323077 1.3393821172011 0, 103.825819825774 1.33922060229803 0, 103.825504814968 1.33901721244102 0, 103.823385331184 1.33759229069982 0, 103.822048025073 1.33669498435499 0, 103.821812659285 1.33653705769698 0, 103.82101027565 1.33599867291929 0, 103.8207130696 1.33581061603438 0)"
kml_203,LORNIE HIGHWAY,"LINESTRING Z (103.8207130696 1.33581061603438 0, 103.820370720298 1.33557611975616 0, 103.820004595969 1.33537033687405 0, 103.819462540952 1.33506884043021 0, 103.818397452357 1.33455198892502 0, 103.81822152173 1.33445149033639 0, 103.818031328405 1.33433663395483 0, 103.817788831281 1.33417392187362 0, 103.817617656113 1.33403513880882 0, 103.817436971656 1.33387721298648 0, 103.817265796684 1.33371450131632 0, 103.816795068846 1.33315458168556 0, 103.8165935297 1.33276046187296 0, 103.817269944064 1.33349260827309 0, 103.817550479961 1.33375581815879 0, 103.817921357664 1.33403338537033 0, 103.81841586328 1.33433966685704 0, 103.81899595585 1.33462202107135 0, 103.81959269162 1.33490724659977 0, 103.820050407421 1.33514952115149 0, 103.820845657191 1.33563406667425 0, 103.821043368906 1.33576402124146 0, 103.821719362643 1.33620834426565 0, 103.822231859033 1.33655181434688 0, 103.823762926188 1.3375759385873 0, 103.825070515407 1.33846128095907 0, 103.82580752082 1.33895420089333 0, 103.826492223434 1.33936097973851 0, 103.827039033771 1.33960983157757 0, 103.827638149346 1.33986347112248 0, 103.828280058096 1.34008839613172 0, 103.829135937299 1.34033724902625 0, 103.829768337 1.34046167612097 0, 103.830319904229 1.34051431811564 0)"
kml_204,EAST COAST PARKWAY,"LINESTRING Z (103.980676494958 1.33907709100369 0, 103.979937642113 1.33721808838398 0, 103.979659063938 1.33658163081286 0, 103.979307392809 1.33592724587995 0, 103.97879322359 1.33514961330001 0, 103.975518507253 1.33029221044163 0, 103.974385848971 1.3287130141118 0, 103.972410120335 1.32581387363194 0, 103.971405037398 1.32430509090429 0, 103.970239562834 1.32256998998064 0, 103.968624995643 1.32022059604669 0, 103.967833667199 1.31940153674332 0, 103.966903266179 1.3186471365897 0, 103.965972802772 1.31812982905723 0, 103.95177681335 1.31236355186342 0, 103.951028226871 1.31212689759177 0, 103.950251499096 1.31199104920696 0, 103.949216307632 1.31190956031656 0, 103.94776262009 1.31187971583929 0, 103.944980054933 1.31182005128233 0, 103.944194486632 1.3117459982984 0, 103.94351171237 1.31163501717619 0, 103.942307697732 1.31133180020776 0, 103.939238954683 1.31044442238842 0, 103.937337507696 1.30990459228577 0, 103.935142291381 1.30929767073803 0, 103.932065879414 1.30841844043065 0, 103.929863196369 1.30780519643966 0, 103.92897761316 1.30747205762319 0, 103.928033644393 1.30699421438974 0, 103.92701771697 1.3064482758022 0, 103.926382969441 1.30615004224546 0, 103.925986486807 1.30602443455605 0, 103.924936543026 1.30567716329697 0, 103.921647211879 1.30475359180235 0, 103.920876275682 1.30453932179672 0, 103.916149205156 1.30319446682298 0, 103.91287472079 1.30229274223727 0, 103.910275693636 1.30157579392855 0, 103.90802907915 1.30093276140533 0, 103.905032995145 1.3000010436622 0, 103.904042450702 1.29964672201637 0, 103.899564649101 1.29799716267983 0, 103.89689181028 1.29698495507817 0, 103.895487475906 1.29643288934135 0, 103.894380516573 1.29602446301346 0, 103.893514069937 1.29581759878268 0, 103.892728407375 1.29570678940115 0, 103.891119242821 1.29571602966342 0, 103.888792875878 1.29582514833495 0, 103.887994863318 1.29585593317181 0, 103.88597604063 1.29593381213607 0, 103.882324144008 1.29577186263302 0, 103.878957741847 1.29561400214138 0, 103.876119124414 1.2955087676655 0, 103.873241931015 1.29547119696238 0, 103.872103869215 1.29545633523174 0, 103.871524706168 1.2954073528418 0, 103.870614010853 1.29526930075676 0, 103.86898055868 1.29498031659297 0, 103.865577623402 1.29435071300154 0, 103.863895243847 1.29397763920646 0, 103.863404786697 1.29381118682987 0, 103.863028389447 1.29362177390816 0, 103.862691911209 1.29338070224652 0, 103.862480898842 1.29318554730645 0, 103.862172934661 1.2928296760871 0, 103.861990436782 1.29255990164229 0, 103.861859266175 1.29227290840294 0, 103.861755327149 1.29193510130693 0, 103.861689746015 1.29167903297403 0, 103.861611357328 1.29095760942747 0, 103.861569931579 1.28938371857193 0, 103.861551317253 1.28888061161427 0, 103.861524521089 1.28815636313966 0, 103.861474910965 1.28619895835995 0)"
kml_205,EAST COAST PARKWAY,"LINESTRING Z (103.86163042412 1.28612943087316 0, 103.861696362181 1.28812641589428 0, 103.861675022418 1.28899185433368 0, 103.861664418996 1.28942186362145 0, 103.861694539003 1.29088319464994 0, 103.861790823035 1.29160133786133 0, 103.86186496506 1.29189981266226 0, 103.861991527853 1.29226074772079 0, 103.862133010987 1.2925426809146 0, 103.862286994341 1.29279523476284 0, 103.862543631399 1.29309944834501 0, 103.862874406102 1.29338070011553 0, 103.863113931566 1.29354141466725 0, 103.863490329777 1.29373656667494 0, 103.863923757103 1.29388579971928 0, 103.865640354401 1.2942186939437 0, 103.869038215125 1.29482556632148 0, 103.870971824304 1.29515359373536 0, 103.871611962565 1.29521214079329 0, 103.872272846185 1.29525555101617 0, 103.875752614989 1.29534951797625 0, 103.877459274853 1.29541987896076 0, 103.879668670622 1.29549408760316 0, 103.881437015378 1.29555348113735 0, 103.882408233425 1.29559295689663 0, 103.886149193181 1.29574500796076 0, 103.888035808161 1.29564783983833 0, 103.888851807445 1.29560581244075 0, 103.89206020435 1.29548513904289 0, 103.892904594938 1.29552944481682 0, 103.893793059005 1.29568458542716 0, 103.894725597396 1.29594317035573 0, 103.895724233166 1.29629042168823 0, 103.905341968096 1.29992022083974 0, 103.906663504381 1.30031195217397 0, 103.912155231284 1.30184932640873 0, 103.925949778384 1.30575101063515 0, 103.926676660228 1.30603178936869 0, 103.927469623275 1.30643819233469 0, 103.928982126899 1.30724361161705 0, 103.929694326028 1.30751699861286 0, 103.931126069672 1.30793075789824 0, 103.934811889211 1.30895775394538 0, 103.937271478992 1.30964593720916 0, 103.940002517841 1.31040762561406 0, 103.943504412437 1.31140593510709 0, 103.944165157025 1.31153908044308 0, 103.944767181019 1.31159831735452 0, 103.948885963021 1.31169519375976 0, 103.94950267661 1.31171748289369 0, 103.950235638207 1.31176453057882 0, 103.950800762586 1.31188286242984 0, 103.951417242804 1.31208253823701 0, 103.952090252935 1.31231001129321 0, 103.96459314508 1.31738619667493 0, 103.966143981195 1.31800050964323 0, 103.967325849869 1.31872368969938 0, 103.967820534839 1.3191159199923 0, 103.968432603563 1.31967096963706 0, 103.969106267769 1.32050080342717 0, 103.97047489292 1.32254844042916 0, 103.973864401409 1.32755975474211 0, 103.978986323918 1.33507370686522 0, 103.979533185605 1.33597815064115 0, 103.97988033222 1.33667204103157 0, 103.980306561165 1.33755145996999 0, 103.981067005124 1.33927898323867 0)"
kml_206,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.876391046163 1.29647364677785 0, 103.875757602134 1.29487707059626 0, 103.87557021812 1.29449289243066 0, 103.875422571674 1.2942394024087 0)"
kml_207,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.876391046163 1.29647364677785 0, 103.875997871632 1.2952000992381 0)"
kml_208,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.90610487061 1.36495228122189 0, 103.904648963297 1.3621098080272 0, 103.903343152233 1.35982455120173 0, 103.902486519657 1.35834075576829 0, 103.900737958353 1.35533428887285 0, 103.899770701994 1.35314407779248 0, 103.898394214301 1.34964347936599 0, 103.898336126733 1.34947399229023 0, 103.89828484842 1.34930229385989 0, 103.89824045844 1.34912866261741 0, 103.898203029584 1.34895337891403 0, 103.898172622959 1.34877672310134 0, 103.898149287094 1.3485989818617 0, 103.898133059735 1.34842044097335 0, 103.898123966947 1.34824138802353 0, 103.898122023112 1.34806211240843 0, 103.89812723183 1.34788290171575 0, 103.898139584122 1.34770404715096 0, 103.898159061125 1.34752583539784 0, 103.898185629597 1.34734855404495 0, 103.89821924911 1.34717248977652 0, 103.898259863958 1.34699792475537 0, 103.898307407654 1.34682514204891 0, 103.898361807421 1.34665442020283 0, 103.898422969813 1.34648603324148 0, 103.898490801388 1.34632025338049 0, 103.8985628101 1.34611073113344 0, 103.898628271828 1.34589904491813 0, 103.898687121883 1.34568540093169 0, 103.898739302764 1.34547000898851 0, 103.898784764159 1.34525307980707 0, 103.898823460248 1.34503482501004 0, 103.898855353299 1.34481545893289 0, 103.898880411872 1.34459519591091 0, 103.898898612609 1.3443742520878 0, 103.898909938447 1.3441528427027 0, 103.898914375915 1.34393118570766 0, 103.898911922325 1.34370949815004 0, 103.898902578582 1.3434879952683 0, 103.898709107337 1.3424891287528 0, 103.898609142099 1.34223411890698 0, 103.89851380262 1.341977321004 0, 103.898423123046 1.3417188191494 0, 103.897994148199 1.34055912313678 0, 103.897472658774 1.33956026515741 0, 103.89647175292 1.3381720284154 0, 103.896009153304 1.33766413778429 0, 103.895298610264 1.33701024741438 0, 103.894743419046 1.33649447914208 0, 103.893810734734 1.3358163722958 0, 103.893697218251 1.33574534273555 0, 103.893134624242 1.33544471883649 0, 103.89270486061 1.33526225307137 0, 103.892261668035 1.33503923767544 0, 103.891711034438 1.33478919060872 0, 103.890985809292 1.33445129037401 0, 103.889803958826 1.33377548123463 0, 103.888317375296 1.33285861557489 0, 103.887642815143 1.33251165143233 0, 103.886898365361 1.33207605641435 0, 103.885954818752 1.33149235681517 0, 103.885547969238 1.33121357536042 0, 103.885296931171 1.3309347887266 0, 103.885054548584 1.33063857840075 0, 103.88489872893 1.33028138042832 0, 103.884820812081 1.32978478482158 0, 103.884742884096 1.32870447003287 0, 103.884647634767 1.3272756669713 0, 103.884509108694 1.32598626077842 0, 103.884387908418 1.32534155829764 0, 103.884301337683 1.32501049494532 0, 103.884154176071 1.32469685813009 0, 103.883989702055 1.32442678307811 0, 103.883825228234 1.32420898026822 0, 103.883556876912 1.32384307182747 0, 103.883314497891 1.32363398411583 0, 103.882985556804 1.32342489721934 0, 103.882682584985 1.32326808291751 0, 103.881730390169 1.32284991469459 0, 103.880068380449 1.32219652995527 0, 103.87956631341 1.32196130882223 0, 103.879211404419 1.32178707066225 0, 103.876415912358 1.32017191267511 0, 103.876022641013 1.31988987537386 0, 103.875798922608 1.31969789984684 0, 103.875450393772 1.31930209534929 0, 103.875198414802 1.31892999074816 0, 103.875033567427 1.31860528691214 0, 103.874838104413 1.31815733679182 0, 103.87476745288 1.31787055406555 0, 103.874699155136 1.31750318609473 0, 103.8746355659 1.31708604634469 0, 103.874600236107 1.316668905216 0, 103.874593165896 1.31631575825187 0, 103.874607286214 1.31574455781213 0, 103.874673205695 1.31476332670554 0, 103.874898258162 1.3131221166844 0, 103.87500811103 1.3123507082294 0, 103.875243519373 1.31117121494069 0, 103.875573095982 1.30992063426852 0, 103.875778701563 1.30915864310197 0, 103.876918746325 1.30620643498985 0, 103.877567908325 1.30453640058927 0, 103.877941340277 1.30354864795482 0, 103.878106341899 1.30292802577303 0, 103.87817581237 1.30238607505636 0, 103.878167116373 1.30178293824219 0, 103.878088943102 1.30123225038206 0, 103.87788049413 1.30056792781352 0, 103.877298580291 1.29895957277996 0, 103.876725351047 1.29731625287324 0, 103.876391046163 1.29647364677785 0)"
kml_209,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.876150024721 1.29515224039529 0, 103.876321205721 1.29565951094634 0, 103.877348292858 1.29857871325154 0, 103.877871798051 1.29990360439606 0)"
kml_210,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.876351861169 1.29485126442294 0, 103.876482140226 1.29523587126799 0, 103.876925093004 1.29674807695671 0, 103.877220392854 1.2976221835751 0, 103.877524381583 1.29868859406923 0, 103.877871798051 1.29990360439606 0)"
kml_211,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.918056141304 1.38370827107959 0, 103.918008382246 1.38340921797589 0, 103.917904427661 1.38312149855628 0, 103.917791809976 1.38285993362376 0, 103.917536525126 1.38248018526501 0, 103.916676604032 1.38157715755868 0, 103.916475720679 1.38129305169367 0, 103.916171823447 1.38086325559858 0, 103.915874969267 1.38045726385999 0, 103.915317334254 1.3799025206114 0, 103.914775093226 1.37951437668064 0, 103.913498649803 1.37871799363899 0, 103.912482800883 1.37809879216359 0, 103.911597136633 1.3775589419976 0, 103.910976873785 1.37709077891262 0, 103.910456914023 1.37658648939942 0, 103.909954434747 1.37589603598114 0, 103.909751508738 1.37556539459811 0, 103.909531863633 1.3751109789326 0, 103.909120628 1.37397483487039 0, 103.908571240881 1.37245701390148 0, 103.907136156575 1.36797460005146 0, 103.906561773083 1.36621607738063 0, 103.906104938907 1.36495246118818 0)"
kml_212,KALLANG PAYA LEBAR EXPRESSWAY,"LINESTRING Z (103.877871798051 1.29990360439606 0, 103.878204895881 1.300877172191 0, 103.878294944159 1.30131634988242 0, 103.878350362781 1.30176946987362 0, 103.878357294952 1.30211802539592 0, 103.8783503749 1.30245263767426 0, 103.878315749583 1.30281513472035 0, 103.878175829216 1.30333885742647 0, 103.877459336875 1.30525288980278 0, 103.876950867051 1.30654044065425 0, 103.876239009593 1.30840981328575 0, 103.876137316083 1.30870611197077 0, 103.875954998633 1.30916765027589 0, 103.875575721286 1.31044192709441 0, 103.875376929999 1.31130285198291 0, 103.875337698974 1.3117109353584 0, 103.875123213826 1.31264821055494 0, 103.875023823781 1.3134248858555 0, 103.874807668741 1.31538795632973 0, 103.87475462626 1.31586850573772 0, 103.874751827112 1.31662109617304 0, 103.874777990851 1.31693176481787 0, 103.874848627569 1.31741093118536 0, 103.874932343059 1.317855870752 0, 103.875039599443 1.31822972596805 0, 103.875125925964 1.31844561257912 0, 103.875316891239 1.31880630243529 0, 103.87546323502 1.31909113766022 0, 103.875618733856 1.31930374113237 0, 103.875794768668 1.31948976677954 0, 103.876208013913 1.31982906360674 0, 103.876495019242 1.32002533372144 0, 103.877021194963 1.32032899737696 0, 103.879835588923 1.32181536287055 0, 103.880444638167 1.32203174942592 0, 103.880899378156 1.32215295265253 0, 103.882898986225 1.32299800012725 0, 103.88334911613 1.3232593568385 0, 103.883712684 1.32356427755733 0, 103.884067597612 1.32393889594235 0, 103.884353263404 1.32440063763781 0, 103.884561021842 1.32481010866228 0, 103.884699529719 1.32521958020693 0, 103.884777446185 1.3256639026845 0, 103.88496791567 1.3272408105874 0, 103.885105497636 1.32973561035606 0, 103.885167841976 1.33007440829159 0, 103.885267588426 1.3303567378352 0, 103.885417204341 1.33062024559071 0, 103.885641625579 1.3309088478465 0, 103.886015657972 1.33122881654773 0, 103.887412037681 1.33200049544657 0, 103.888619694124 1.33271717525622 0, 103.889972901766 1.33357500693497 0, 103.891806571754 1.33441038819609 0, 103.892957951784 1.33499992887854 0, 103.893735701624 1.33544927741581 0, 103.894186198378 1.33576605862352 0, 103.894423824267 1.33593623681713 0, 103.89465748499 1.33611188920088 0, 103.894887057442 1.33629291991636 0, 103.895112417623 1.33647923400956 0, 103.895333446919 1.33667073110021 0, 103.895550027618 1.33686730990367 0, 103.895762044702 1.33706886732654 0, 103.895969384951 1.33727529304045 0, 103.89617193694 1.33748647943013 0, 103.896369593738 1.33770231164527 0, 103.896562250211 1.33792267754863 0, 103.896749803921 1.33814745867236 0, 103.896932154226 1.33837653564423 0, 103.897109204076 1.33860978637877 0, 103.89728086002 1.33884708607739 0, 103.8974470304 1.33908830813268 0, 103.897607626254 1.33933332503281 0, 103.897762563114 1.33958200655273 0, 103.89791175741 1.33983421975426 0, 103.899046444687 1.34249182189252 0, 103.899194646065 1.34330243540775 0, 103.899252204031 1.3443678151935 0, 103.899096291916 1.34533356971097 0, 103.899042468785 1.3456267876422 0, 103.89887741205 1.34619536838985 0, 103.898729471685 1.34678817928641 0, 103.898624254855 1.34750462912855 0, 103.898595896035 1.34820529031748 0, 103.898652673252 1.34900647919501 0, 103.898837131326 1.34989297957857 0, 103.898897811201 1.35009259545052 0, 103.90094254892 1.35504412435121 0, 103.902721578899 1.35821170533066 0, 103.903774500978 1.36014272265459 0, 103.904827105156 1.36211297160596 0, 103.90631463519 1.36501894179586 0, 103.906827848128 1.36624541489881 0, 103.908877821862 1.37261253570324 0, 103.909741832788 1.37513749896728 0, 103.910041392315 1.37570153534452 0, 103.910331286214 1.37615859574301 0, 103.910659827728 1.37655730711886 0, 103.911036683106 1.37690739195068 0, 103.911626117913 1.37735471770105 0, 103.915220696676 1.37957187698779 0, 103.915491259413 1.37982471491371 0, 103.916013429604 1.38035495744756 0, 103.916206295374 1.38060233202558 0, 103.916492212269 1.381114049592 0, 103.916721482279 1.3814447526747 0, 103.917535883869 1.38231083423327 0, 103.917888118757 1.38274685131241 0, 103.918086354233 1.38313023360037 0, 103.918162586408 1.38345418008423 0)"
kml_213,KRANJI EXPRESSWAY,"LINESTRING Z (103.775741660211 1.39085422516696 0, 103.775546130587 1.39070619139983 0, 103.775312739309 1.39059941284705 0, 103.77504752017 1.39050331220737 0, 103.774644385672 1.39043923884454 0, 103.772872709435 1.39048190333282 0, 103.771381483346 1.39054025556798 0, 103.766644221857 1.39067180734067 0, 103.765318654654 1.39063908558362 0, 103.764319047203 1.39055166231923 0, 103.763319570065 1.39040581133132 0, 103.762222038783 1.39019090609301 0, 103.761059445989 1.38989570444317 0, 103.759936409889 1.38956754032777 0, 103.759383012412 1.38935987931983 0, 103.758743929905 1.38919488966051 0, 103.757704445293 1.3889728126008 0, 103.75672866333 1.38884575591159 0, 103.755843546029 1.38880293873592 0, 103.755002388845 1.38881770531444 0, 103.753959406995 1.388936311005 0, 103.753125585767 1.38908443998689 0, 103.749608489677 1.38976353556826 0, 103.748520428679 1.38984839359527 0, 103.747775952638 1.38981531572086 0, 103.747278774403 1.3897700151801 0, 103.74670380092 1.38967782134322 0, 103.74593660821 1.38949436275043 0, 103.745023525388 1.3891668858495 0, 103.744072618142 1.38867229625616 0, 103.743553959206 1.38833304539714 0, 103.742995905081 1.38792198559036 0, 103.741467112001 1.38663792442772 0, 103.738662357325 1.38427429780011 0, 103.735704276556 1.38173507164359 0, 103.735050654998 1.38112506805272 0, 103.734970494556 1.38105025762859 0, 103.73104030329 1.37768897040561 0, 103.73026253612 1.37704574936137 0, 103.724298677155 1.37194141085283 0, 103.723181694726 1.37120204566206 0, 103.721988185714 1.37055508780378 0, 103.720840562252 1.37009295342212 0, 103.716145711403 1.36871367290621 0, 103.712531684703 1.36770151559702 0, 103.710664739824 1.36708405562845 0, 103.709884327852 1.36676773007634 0, 103.709227098714 1.36648914972769 0, 103.708322290623 1.365995822704 0, 103.707367222075 1.36533806702496 0, 103.705834092616 1.36417435206493 0, 103.704641824731 1.36321366127291 0, 103.704216060661 1.3628315996417 0, 103.703736579778 1.36234518794119 0, 103.703354473128 1.36190653266544 0, 103.703043424408 1.36143106734164 0)"
kml_214,KRANJI EXPRESSWAY,"LINESTRING Z (103.703263709639 1.36090660089321 0, 103.70382286599 1.36161046357993 0, 103.705362310198 1.36331078589329 0, 103.706074039849 1.36401182113564 0, 103.707023019618 1.36484382309716 0, 103.708048542445 1.36557568601979 0, 103.708805669612 1.36605838731624 0, 103.709616647002 1.36645945893677 0, 103.71027462356 1.36676029738292 0, 103.711077460994 1.367026127991 0, 103.719588119608 1.36953225157171 0, 103.720381531892 1.3697694828173 0, 103.721100714242 1.37003136323628 0, 103.721697480768 1.37026243241112 0, 103.722248336317 1.37052430189236 0, 103.722875695841 1.37083238140541 0, 103.723717266921 1.37132529794486 0, 103.724451715807 1.3718490100923 0, 103.729879228841 1.37642038660982 0, 103.730748954072 1.37711867206302 0, 103.731345364141 1.37772660505702 0, 103.735100093236 1.38093695811155 0, 103.735826597595 1.38155812996192 0, 103.738830542424 1.38412044076177 0, 103.741485889815 1.38642079303283 0, 103.743092967089 1.38778968733944 0, 103.743615124798 1.38817917669413 0, 103.744133784609 1.38851842844287 0, 103.745084691811 1.38901301800893 0, 103.745997774585 1.38934049488326 0, 103.746764967252 1.38952395435781 0, 103.747339940701 1.38961614727328 0, 103.747837119804 1.38966144779924 0, 103.748780238279 1.38965829860116 0, 103.749449045236 1.38961247228805 0, 103.752332666898 1.38904396331718 0, 103.752938376079 1.38890476826119 0, 103.753576208124 1.38880098267037 0, 103.754110861024 1.38872550994404 0, 103.754739723708 1.38866668867157 0, 103.755471729553 1.38863318920484 0, 103.756384534991 1.38866445599116 0, 103.756863392233 1.38868085778734 0, 103.757839128312 1.38880790265921 0, 103.758878612869 1.38902997875201 0, 103.759284467817 1.38914050207592 0, 103.759573323365 1.38922966330923 0, 103.7606682883 1.38956764539288 0, 103.761635305226 1.38987379490989 0, 103.762417611434 1.39007059640455 0, 103.763352162382 1.39025270537993 0, 103.764351637662 1.39039855544657 0, 103.765416438956 1.39047503778404 0, 103.765470404798 1.39047594732664 0, 103.766709408682 1.39049682570544 0, 103.771653111394 1.39034338729089 0, 103.773139720685 1.39027652107955 0, 103.77366423267 1.39025292877697 0, 103.774773489313 1.39027304535286 0, 103.775207651208 1.39035607763687 0, 103.775507220312 1.39048717436149 0, 103.775737323791 1.39062700640194 0, 103.775910984774 1.39081053408354 0)"
