Name,Bus_Interchange,MRT_Interchange,Latitude,Longitude
Jurong East,1,1,1.333576523,103.74229240000001
Bukit Batok,1,0,1.34956122,103.74997009999998
Bukit Gombak,0,0,1.35906994,103.7520673
Choa Chu Kang,1,1,1.385710805,103.744203
Yew Tee,0,0,1.3975350180000001,103.7474051
Kranji,0,0,1.4248605980000002,103.7619343
Marsiling,0,0,1.43275723,103.77398170000001
Woodlands,1,1,1.437094408,103.78722490000001
Admiralty,0,0,1.4403433719999998,103.8009842
Sembawang,1,0,1.448927331,103.8204016
Canberra,0,0,1.443076641,103.82970259999999
Yishun,1,0,1.42940145,103.83479059999999
Khatib,0,0,1.4171305459999999,103.83269179999999
Yio Chu Kang,1,0,1.381960215,103.8446515
Ang Mo Kio,1,0,1.369464707,103.849939
Bishan,1,1,1.350579599,103.84830500000001
Braddell,0,0,1.341078755,103.8464118
Toa Payoh,1,0,1.332376442,103.8477238
Novena,0,0,1.321103004,103.84440579999999
Newton,0,1,1.313625313,103.8382503
Orchard,0,0,1.304897702,103.8325251
Somerset,0,0,1.300031943,103.8383856
Dhoby Ghaut,0,1,1.29906443,103.84522559999999
City Hall,0,1,1.291721364,103.85475600000001
Raffles Place,0,1,1.2825417159999999,103.8509536
Marina Bay,0,1,1.2756968000000002,103.8548379
Marina South Pier,0,0,1.271479202,103.86356440000002
Pasir Ris,1,0,1.372841969,103.9493334
Tampines,1,1,1.353539082,103.94508959999999
Simei,0,0,1.342655786,103.95382009999999
Tanah Merah,0,1,1.3268651000000002,103.9457914
Bedok,1,0,1.3235686359999999,103.9291571
Kembangan,0,0,1.320929673,103.91294
Eunos,1,0,1.319517275,103.9028941
Paya Lebar,0,1,1.318147366,103.8917141
Aljunied,0,0,1.316487931,103.88247290000001
Kallang,0,0,1.311540483,103.87173059999999
Lavender,0,0,1.307169461,103.8630431
Bugis,0,1,1.299081126,103.8568882
Tanjong Pagar,0,0,1.276060998,103.8468917
Outram Park,0,1,1.281604154,103.83865250000001
Tiong Bahru,0,0,1.285764585,103.8269968
Redhill,0,0,1.2894858759999999,103.81724940000001
Queenstown,0,0,1.294250313,103.8061795
Commonwealth,0,0,1.302083048,103.7987682
Buona Vista,0,1,1.3071972570000001,103.7906566
Dover,0,0,1.311426541,103.77829440000001
Clementi,1,0,1.315405642,103.7649827
Chinese Garden,0,0,1.342440843,103.7322246
Lakeside,0,0,1.3440753769999998,103.7210633
Boon Lay,1,0,1.338420696,103.70614549999999
Pioneer,0,0,1.337342939,103.6971431
Joo Koon,1,0,1.3279575829999999,103.6786414
Gul Circle,0,0,1.3192785809999998,103.6607917
Tuas Crescent,0,0,1.320756144,103.6490072
Tuas West Road,0,0,1.329850392,103.63929949999999
Tuas Link,0,0,1.340531698,103.6372497
Expo,0,1,1.335492099,103.9618322
Changi Airport,0,0,1.357220256,103.9873046
HarbourFront,1,1,1.265981864,103.8213959
Chinatown,0,1,1.28540646,103.8434762
Clarke Quay,0,0,1.286898788,103.8460645
Little India,0,1,1.3069053609999999,103.84903670000001
Farrer Park,0,0,1.312464255,103.85297290000001
Boon Keng,0,0,1.317911495,103.8606963
Potong Pasir,0,0,1.3328133659999999,103.86896740000002
Woodleigh,1,0,1.338591864,103.87050649999999
Serangoon,1,1,1.3508247359999999,103.8729009
Kovan,0,0,1.35970263,103.8843026
Hougang,1,0,1.371956795,103.8929672
Buangkok,1,0,1.382649723,103.8934632
Sengkang,1,1,1.39243991,103.8957351
Punggol,1,1,1.405156551,103.9026363
Bras Basah,0,0,1.297533874,103.85042469999999
Esplanade,0,0,1.292910178,103.85585309999999
Promenade,0,1,1.294115232,103.860219
Nicoll Highway,0,0,1.300174562,103.86350470000001
Stadium,0,0,1.302511088,103.8744
Mountbatten,0,0,1.306045926,103.8832483
Dakota,0,0,1.308825619,103.889298
MacPherson,0,1,1.3258585170000001,103.8906628
Tai Seng,0,0,1.335919836,103.8876317
Bartley,0,0,1.343501236,103.87890909999999
Lorong Chuan,0,0,1.351734789,103.8629194
Marymount,0,0,1.3478730819999998,103.8400478
Caldecott,0,0,1.337114855,103.83940109999999
Botanic Gardens,0,1,1.322699743,103.8159112
Farrer Road,0,0,1.317495323,103.8079666
Holland Village,0,0,1.311223565,103.7961344
one-north,0,0,1.299035627,103.7868968
Kent Ridge,0,0,1.294317848,103.7844655
Haw Par Villa,0,0,1.283066228,103.7820002
Pasir Panjang,0,0,1.276008977,103.7920338
Labrador Park,0,0,1.272112372,103.80236059999999
Telok Blangah,0,0,1.270734786,103.80988459999999
Bayfront,0,1,1.282705224,103.8597592
Bukit Panjang,1,1,1.379015879,103.761921
Cashew,0,0,1.369844386,103.7642079
Hillview,0,0,1.3620882069999998,103.767088
Beauty World,1,0,1.3415971709999999,103.7754578
King Albert Park,0,0,1.33554323,103.7830189
Sixth Avenue,0,0,1.33153906,103.79682820000001
Tan Kah Kee,0,0,1.3253279690000002,103.8077983
Stevens,0,0,1.320329203,103.8256843
Rochor,0,0,1.3036354959999998,103.85265279999999
Downtown,0,0,1.2796172270000001,103.85291529999999
Telok Ayer,0,0,1.281891079,103.8485129
Fort Canning,0,0,1.2928245090000001,103.8444139
Bencoolen,0,0,1.2992013999999998,103.85083829999999
Jalan Besar,0,0,1.30549256,103.8552371
Bendemeer,0,0,1.3138743290000001,103.86306280000001
Geylang Bahru,0,0,1.321301102,103.8716226
Mattar,0,0,1.327258786,103.8827378
Ubi,0,0,1.329830436,103.8985819
Kaki Bukit,0,0,1.335322179,103.9094061
Bedok North,0,0,1.3351663409999999,103.91803900000001
Bedok Reservoir,0,0,1.336357975,103.9328537
Tampines West,0,0,1.345643664,103.9381809
Tampines East,0,0,1.3556102559999998,103.9551829
Upper Changi,0,0,1.341044381,103.9614589
Woodlands North,0,1,1.4490567019999998,103.7851052
Woodlands South,0,0,1.427636527,103.7933065
